WordnetID	Synsets	Definition
n13246475	"real_property,real_estate,realty,immovable"	property consisting of houses and land
n00984609	"reconnaissance,reconnaissance_mission"	the act of reconnoitring (especially to gain information about an enemy or potential enemy)
n04065464	"recreation_room,rec_room"	a room equipped for informal entertaining
n04065272	"recreational_vehicle,RV,R.V."	a motorized wheeled vehicle used for camping or other recreational activities
n13883346	rectangle	a parallelogram with four right angles
n04962784	"red,redness"	red color or pigment; the chromatic color resembling the hue of blood
n09406793	reef	a submerged ridge of rock or coral near the surface of the water
n11503060	"reflection,reflexion"	the phenomenon of a propagating wave (light or sound) being thrown back from a surface
n04069434	reflex_camera	camera that allows the photographer to view and focus the exact scene being photographed
n04072551	rein	one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse
n07493280	"relief,alleviation,assuagement"	the feeling that comes when something burdensome is removed or reduced
n05946687	"religion,faith,religious_belief"	a strong belief in a supernatural power or powers that control human destiny
n01661091	"reptile,reptilian"	"any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms"
n04078747	"reservoir,artificial_lake,man-made_lake"	lake used to store water for community use
n08553535	"residential_district,residential_area,community"	a district where people live; occupied primarily by private residences
n08640531	"resort,resort_hotel,holiday_resort"	a hotel located in a resort area
n04081281	"restaurant,eating_house,eating_place,eatery"	a building where people go to eat
n03748162	"mercantile_establishment,retail_store,sales_outlet,outlet"	a place of business for retailing goods
n02099029	retriever	a dog with heavy water-resistant coat that can be trained to retrieve game
n09409512	ridge	a long narrow natural elevation or striation
n04092305	rim	the outer part of a wheel to which the tire is attached
n04092609	"ring,band"	jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger
n09411189	riparian_forest	woodlands along the banks of stream or river
n01030820	ritual	the prescribed procedure for conducting religious ceremonies
n09411430	river	a large natural stream of water (larger than a creek)
n04097527	road_surface	the paved surface of a paved roadway
n00308370	trip	a journey for some purpose (usually including the return)
n00247442	roasting	cooking (meat) by dry heat in an oven (usually with fat added)
n01562265	"robin,redbreast,robin_redbreast,Old_World_robin,Erithacus_rubecola"	small Old World songbird with a reddish breast
n02761392	"automaton,robot,golem"	a mechanism that can move automatically
n09416076	"rock,stone"	a lump or mass of hard consolidated mineral matter
n00326094	rock_climbing	the sport or pastime of scaling rock masses on mountain sides (especially with the help of ropes and special equipment)
n06892979	rock_concert	a performance of rock music
n02329401	"rodent,gnawer"	relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
n00522939	rodeo	an exhibition of cowboy skills
n04102406	"roller_coaster,big_dipper,chute-the-chute"	elevated railway in an amusement park (usually with sharp curves and steep inclines)
n00448958	roller_skating	skating on wheels
n04103364	rolling_stock	collection of wheeled vehicles owned by a railroad or motor carrier
n13931436	"love_affair,romance"	a relationship between two lovers
n04105068	roof	a protective covering that covers or forms the top of a building
n04105893	room	an area within a building enclosed by walls and floor and ceiling
n13125117	root	(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
n12620031	"Rosa,genus_Rosa"	large genus of erect or climbing prickly shrubs including roses
n12619306	"Rosaceae,family_Rosaceae,rose_family"	a large family of dicotyledonous plants of order Rosales; have alternate leaves and five-petaled flowers with numerous stamens
n00445351	"rowing,row"	the act of rowing as a sport
n14857897	"debris,dust,junk,rubble,detritus"	the remains of something that has been destroyed or broken up
n00470966	"rugby,rugby_football,rugger"	a form of football played with an oval ball
n14562324	"ruin,ruination"	an irrecoverable state of devastation and destruction
n14009481	running	the state of being in operation
n04120998	runway	a narrow platform extending from the stage into the audience in a theater or nightclub etc.
n08644722	"country,rural_area"	an area outside of cities and towns
