v01615020	verb.contact	enclose or bound in with or as it with a hedge or hedges
n03005285	noun.artifact	branched lighting fixture; often ornate; hangs from the ceiling
v02753865	verb.stative	be averse to or express disapproval of
n11939491	noun.plant	any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
n13766896	noun.quantity	the quantity that a dish will hold
n08183046	noun.group	a crowd especially of ordinary or undistinguished persons or things
v01655763	verb.creation	construct by fitting or uniting parts together
n13741022	noun.quantity	one of the elements that collectively form a system of numeration
n00015388	noun.Tops	a living organism characterized by voluntary movement
n03502509	noun.artifact	clothing for the head
v01158181	verb.consumption	spend extravagantly
a02887899	adj.pert	of or relating to the sea
v01771390	verb.emotion	arouse sympathy or compassion in
n06892016	noun.communication	a short theatrical performance that is part of a longer program
n13927112	noun.state	an unfortunate situation
v00291873	verb.change	make lighter or brighter
n12212361	noun.plant	any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower
n06616035	noun.communication	a film about life in the western United States during the period of exploration and development
s00936523	adj.all	rendered competent through trial and experience
n13313733	noun.possession	a way of organizing business to reduce the taxes it must pay on current earnings
n13983717	noun.state	darkness
n06839190	noun.communication	a blank character used to separate successive words in writing or printing
n12387201	noun.plant	a family of order Parietales including the genera Viola, Hybanthus, Hymenanthera, Melicytus
n07352835	noun.event	something that rises rapidly
v02084380	verb.motion	force to march
n09435739	noun.object	a depression in the ground communicating with a subterranean passage (especially in limestone) and formed by solution or by collapse of a cavern roof
n02728440	noun.artifact	clothing in general
v01967792	verb.motion	submerge or plunge suddenly
n10372076	noun.person	someone who administers the rules of a game or sport
n05190804	noun.attribute	possession of controlling influence
n08424951	noun.group	the customers for a particular product or service
v01385643	verb.contact	gather
v01953810	verb.motion	move something or somebody around; usually over long distances
n03667235	noun.artifact	apparatus for supplying artificial light effects for the stage or a film
r00305683	adv.all	to a great distance
n03085219	noun.artifact	a device that displays signals on a computer screen
s01568684	adj.all	involving the entire earth; not limited or provincial in scope
n01802309	noun.animal	pheasants; quails; partridges
v01755504	verb.creation	gather and light the materials for
n00474568	noun.act	the game of baseball
